2014	usb on-the-go	algorithm	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
2014	usb on-the-go	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
2014	usb on-the-go	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	usb on-the-go	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	hamilton–jacobi–bellman equation	iteration	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
2014	hamilton–jacobi–bellman equation	nonlinear system	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
2014	hamilton–jacobi–bellman equation	simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	hamilton–jacobi–bellman equation	dynamic programming	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
2014	hamilton–jacobi–bellman equation	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
2014	hamilton–jacobi–bellman equation	optimal control	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 4}
2014	hamilton–jacobi–bellman equation	neural networks	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	hamilton–jacobi–bellman equation	neural network simulation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	hamilton–jacobi–bellman equation	markov decision process	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
2014	jacobi method	iteration	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	jacobi method	nonlinear system	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	jacobi method	bellman equation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	jacobi method	algorithm	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	jacobi method	optimal control	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	jacobi method	neural network simulation	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	jacobi method	markov decision process	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2}
2014	iteration	nonlinear system	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 6, 'd27c592254ac8088026f3beff99892311ae0a6c4': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2}
2014	iteration	dynamic programming	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 3, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
2014	iteration	bellman equation	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3}
